"codcompra","mododisputa","disputaaberto","aditivos","vigencia_inicio","vigencia_fim","anos","valor_inicial","valor_global","diferenca_valor","percentual_diferenca_valor"
"15812399000032019","Fechado","False","9","2020-01-06","2021-12-06","1.0","399999.92","417049.23","17049.31","4.262328352465671"
"15812399000052019","Fechado","False","9","2019-10-23","2023-06-29","4.0","50780.26","52944.0","2163.74","4.260986454185149"
"15812399000082019","Fechado","False","9","2019-09-23","2022-11-09","3.0","1157884.37","1423129.11","265244.74","22.907705369578483"
"15812399000112019","Fechado","False","9","2019-10-09","2021-07-09","2.0","118169.77","150802.23","32632.46","27.6148967709762"
"15812399000132019","Fechado","False","9","2019-11-04","2023-11-04","4.0","2067102.05","2806883.44","739781.39","35.788334204399824"
"15814199000122019","Aberto","True","9","2019-11-04","2021-02-27","2.0","47314.69","47314.69","0.0","0.0"
"15814899000022019","Aberto","True","4","2020-01-08","2021-06-21","1.0","1087920.75","1087920.75","0.0","0.0"
"15815699000042019","Aberto","True","5","2019-12-11","2021-10-30","2.0","2989516.71","3524720.95","535204.24","17.902701069029984"
"15829599000012019","Fechado","False","4","2020-04-08","2023-12-08","3.0","5683851.4","5683851.4","0.0","0.0"
"15842799000012019","Aberto","True","6","2020-06-01","2021-03-08","1.0","1220000.0","73591.69","-1146408.31","-93.96789426229508"
"15851699000082019","Fechado/Aberto","True","1","2021-02-22","2021-11-19","0.0","314052.02","314052.02","0.0","0.0"
"15851799000042019","Aberto","True","5","2019-09-17","2021-06-07","2.0","786899.25","845240.05","58340.8","7.414011387099428"
"15851799000072019","Aberto","True","5","2019-12-02","2021-06-13","2.0","1009513.82","1018771.59","9257.77","0.9170523292093218"
"15851799000082019","Aberto","True","5","2020-01-09","2024-01-27","4.0","1951642.81","2460129.97","508487.16","26.054314723707048"
"15851799000092019","Aberto","True","5","2019-12-16","2021-10-20","2.0","70200.72","70200.72","0.0","0.0"
"15851799000102019","Aberto","True","5","2020-06-18","2022-04-03","2.0","130454.75","108604.53","-21850.22","-16.74927129905197"
"15851799000112019","Aberto","True","5","2020-11-17","2021-07-01","1.0","1035996.22","1035996.22","0.0","0.0"
"15867699000092019","Fechado","False","3","2019-12-16","2021-09-17","2.0","581075.57","673148.51","92072.94","15.845260884053344"
"15871799000012019","Aberto","True","2","2019-05-16","2021-07-06","2.0","670329.44","726423.87","56094.43","8.368188334380779"
"15871899000022019","Aberto","True","7","2019-08-19","2022-03-19","3.0","3495862.05","4240766.27","744904.22","21.30816975458171"
"15871899000032019","Aberto","True","7","2019-11-29","2021-07-28","2.0","936859.87","936859.87","0.0","0.0"
